Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
XML,/Users/ropf/case_systems/gaffer/findbugs-exclude.xml,findbugs-exclude.xml,21,6,15,0,0,751
Markdown,/Users/ropf/case_systems/gaffer/README.md,README.md,107,74,0,33,0,5064
License,/Users/ropf/case_systems/gaffer/LICENSE,LICENSE,202,169,0,33,0,11358
gitignore,/Users/ropf/case_systems/gaffer/.gitignore,.gitignore,33,20,12,1,0,781
XML,/Users/ropf/case_systems/gaffer/pom.xml,pom.xml,1313,1260,33,20,0,58328
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/java/uk/gov/gchq/gaffer/federatedstore/FederatedStoreGraphVisibilityTest.java,FederatedStoreGraphVisibilityTest.java,217,156,19,42,3,8081
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/java/uk/gov/gchq/gaffer/federatedstore/FederatedStoreCacheTest.java,FederatedStoreCacheTest.java,116,85,15,16,0,4947
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/java/uk/gov/gchq/gaffer/federatedstore/FederatedAccessPublicAccessTest.java,FederatedAccessPublicAccessTest.java,52,22,15,15,0,1423
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/java/uk/gov/gchq/gaffer/federatedstore/FederatedAccessNullEmptyTest.java,FederatedAccessNullEmptyTest.java,97,55,15,27,0,2685
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/java/uk/gov/gchq/gaffer/federatedstore/FederatedAccessNullUserTest.java,FederatedAccessNullUserTest.java,70,41,15,14,0,2163
Markdown,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/README.md,README.md,24,16,0,8,0,1038
JSON,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/resources/schema/basicEntitySchema.json,basicEntitySchema.json,24,24,0,0,0,529
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/java/uk/gov/gchq/gaffer/federatedstore/FederatedStoreAuthTest.java,FederatedStoreAuthTest.java,154,115,15,24,0,6380
XML,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/resources/log4j.xml,log4j.xml,30,14,15,1,0,1186
Markdown,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/README.md,README.md,50,38,0,12,0,1475
Java,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/test/java/uk/gov/gchq/gaffer/proxystore/SingleUseMapProxyStore.java,SingleUseMapProxyStore.java,73,38,26,9,0,2941
XML,/Users/ropf/case_systems/gaffer/store-implementation/pom.xml,pom.xml,37,19,15,3,0,1404
Java,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/test/java/uk/gov/gchq/gaffer/proxystore/integration/ProxyStoreITs.java,ProxyStoreITs.java,39,18,15,6,0,1476
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/main/java/uk/gov/gchq/gaffer/federatedstore/FederatedStoreConstants.java,FederatedStoreConstants.java,36,13,18,5,0,1579
Properties File,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/test/resources/map-store.properties,map-store.properties,19,4,15,0,0,840
Java,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/test/java/uk/gov/gchq/gaffer/proxystore/integration/ProxyStoreBasicIT.java,ProxyStoreBasicIT.java,241,180,31,30,1,9027
Java,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/main/java/uk/gov/gchq/gaffer/proxystore/ProxyProperties.java,ProxyProperties.java,175,126,18,31,9,6113
Properties File,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/resources/predefinedFederatedStore.properties,predefinedFederatedStore.properties,16,1,15,0,0,661
XML,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/pom.xml,pom.xml,94,70,17,7,0,3437
YAML,/Users/ropf/case_systems/gaffer/.travis.yml,.travis.yml,40,36,0,4,0,4049
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/java/uk/gov/gchq/gaffer/federatedstore/FederatedStoreMultiCacheTest.java,FederatedStoreMultiCacheTest.java,144,106,15,23,0,6654
XML,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/pom.xml,pom.xml,101,79,16,6,0,3785
XML,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/test/resources/log4j.xml,log4j.xml,30,14,15,1,0,1186
JSON,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/resources/schema/edgeX2NoTypesSchema.json,edgeX2NoTypesSchema.json,42,42,0,0,0,1144
Properties File,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/resources/properties/singleUseMockAccStoreAlt.properties,singleUseMockAccStoreAlt.properties,22,7,15,0,0,874
Properties File,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/resources/properties/singleUseMockAccStore.properties,singleUseMockAccStore.properties,21,6,15,0,0,857
JSON,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/resources/schema/edgeTypeSchema.json,edgeTypeSchema.json,31,31,0,0,0,799
JSON,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/resources/schema/basicEdgeSchema.json,basicEdgeSchema.json,42,42,0,0,0,1057
Java,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/main/java/uk/gov/gchq/gaffer/proxystore/ProxyStore.java,ProxyStore.java,385,308,24,53,11,14720
Properties File,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/test/resources/proxy-store.properties,proxy-store.properties,19,4,15,0,0,708
Java,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/main/java/uk/gov/gchq/gaffer/proxystore/package-info.java,package-info.java,20,1,18,1,0,688
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/java/uk/gov/gchq/gaffer/federatedstore/FederatedAccessAuthTest.java,FederatedAccessAuthTest.java,105,65,15,25,0,3300
Java,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/main/java/uk/gov/gchq/gaffer/proxystore/operation/handler/OperationChainHandler.java,OperationChainHandler.java,39,13,23,3,0,1563
Properties File,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/test/resources/mock-proxy-store.properties,mock-proxy-store.properties,19,4,15,0,0,720
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/java/uk/gov/gchq/gaffer/federatedstore/PredefinedFederatedStore.java,PredefinedFederatedStore.java,68,43,17,8,0,3047
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/main/java/uk/gov/gchq/gaffer/federatedstore/FederatedGraphStorage.java,FederatedGraphStorage.java,458,319,92,47,68,18609
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/main/java/uk/gov/gchq/gaffer/federatedstore/FederatedOperationChainValidator.java,FederatedOperationChainValidator.java,69,35,28,6,3,2981
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/test/java/uk/gov/gchq/gaffer/federatedstore/FederatedStoreTest.java,FederatedStoreTest.java,1096,807,121,168,23,44913
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/main/java/uk/gov/gchq/gaffer/federatedstore/FederatedAccess.java,FederatedAccess.java,213,122,62,29,26,7201
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/main/java/uk/gov/gchq/gaffer/federatedstore/FederatedStoreCache.java,FederatedStoreCache.java,134,60,59,15,9,5457
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/main/java/uk/gov/gchq/gaffer/federatedstore/exception/StorageException.java,StorageException.java,50,14,30,6,0,1624
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/main/java/uk/gov/gchq/gaffer/federatedstore/operation/RemoveGraph.java,RemoveGraph.java,96,47,32,17,0,2599
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/main/java/uk/gov/gchq/gaffer/federatedstore/util/FederatedStoreUtil.java,FederatedStoreUtil.java,180,123,42,15,29,8092
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/main/java/uk/gov/gchq/gaffer/federatedstore/operation/FederatedOperation.java,FederatedOperation.java,37,13,20,4,2,1362
Java,/Users/ropf/case_systems/gaffer/store-implementation/federated-store/src/main/java/uk/gov/gchq/gaffer/federatedstore/FederatedStore.java,FederatedStore.java,370,202,123,45,11,15126
