Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
XML,/Users/ropf/case_systems/cassandra/build.xml,build.xml,1675,1420,118,137,0,77929
Plain Text,/Users/ropf/case_systems/cassandra/LICENSE.txt,LICENSE.txt,209,174,0,35,0,11609
Plain Text,/Users/ropf/case_systems/cassandra/CHANGES.txt,CHANGES.txt,4243,4028,0,215,0,236995
Plain Text,/Users/ropf/case_systems/cassandra/NOTICE.txt,NOTICE.txt,62,46,0,16,0,2117
Markdown,/Users/ropf/case_systems/cassandra/CONTRIBUTING.md,CONTRIBUTING.md,17,12,0,5,0,1285
Plain Text,/Users/ropf/case_systems/cassandra/NEWS.txt,NEWS.txt,1553,1297,0,256,0,64073
CSS,/Users/ropf/case_systems/cassandra/doc/cql3/CQL.css,CQL.css,103,69,20,14,0,2056
XML,/Users/ropf/case_systems/cassandra/examples/hadoop_word_count/ivy.xml,ivy.xml,24,6,18,0,0,1033
Plain Text,/Users/ropf/case_systems/cassandra/examples/hadoop_word_count/README.txt,README.txt,49,35,0,14,0,1602
XML,/Users/ropf/case_systems/cassandra/examples/hadoop_word_count/build.xml,build.xml,113,80,23,10,0,4437
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/slf4j-api-1.7.2.txt,slf4j-api-1.7.2.txt,20,17,0,3,0,1077
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/json-simple-1.1.txt,json-simple-1.1.txt,202,169,0,33,0,11358
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/SSTableAddedNotification.java,SSTableAddedNotification.java,29,10,17,2,0,1108
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/SSTableRepairStatusChanged.java,SSTableRepairStatusChanged.java,33,11,18,4,0,1201
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/TruncationNotification.java,TruncationNotification.java,32,9,21,2,0,1189
Plain Text,/Users/ropf/case_systems/cassandra/conf/triggers/README.txt,README.txt,1,1,0,0,0,61
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/MemtableRenewedNotification.java,MemtableRenewedNotification.java,30,10,17,3,0,1100
CSS,/Users/ropf/case_systems/cassandra/doc/cql/CQL.css,CQL.css,48,25,21,2,0,1269
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/INotification.java,INotification.java,30,4,24,2,0,1043
XML,/Users/ropf/case_systems/cassandra/conf/logback-tools.xml,logback-tools.xml,33,13,18,2,0,1181
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/commons-cli-1.1.txt,commons-cli-1.1.txt,202,169,0,33,0,11358
YAML,/Users/ropf/case_systems/cassandra/src/resources/org/apache/cassandra/cli/CliHelp.yaml,CliHelp.yaml,1262,989,17,256,0,50785
XML,/Users/ropf/case_systems/cassandra/conf/logback.xml,logback.xml,53,27,21,5,0,1946
Java,/Users/ropf/case_systems/cassandra/examples/hadoop_word_count/src/WordCountSetup.java,WordCountSetup.java,239,179,24,36,11,10145
Shell,/Users/ropf/case_systems/cassandra/conf/cassandra-env.sh,cassandra-env.sh,289,136,110,43,20,11123
Java,/Users/ropf/case_systems/cassandra/examples/hadoop_word_count/src/WordCountCounters.java,WordCountCounters.java,104,66,23,15,1,4407
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairParallelism.java,RepairParallelism.java,22,7,12,3,0,371
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/IRequestCoordinator.java,IRequestCoordinator.java,28,7,18,3,0,1003
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/ParallelRequestCoordinator.java,ParallelRequestCoordinator.java,49,26,17,6,1,1524
YAML,/Users/ropf/case_systems/cassandra/conf/cassandra.yaml,cassandra.yaml,768,79,609,80,0,35738
Properties File,/Users/ropf/case_systems/cassandra/conf/cassandra-topology.properties,cassandra-topology.properties,41,14,20,7,0,1358
Plain Text,/Users/ropf/case_systems/cassandra/conf/README.txt,README.txt,13,7,0,6,0,291
Properties File,/Users/ropf/case_systems/cassandra/conf/commitlog_archiving.properties,commitlog_archiving.properties,55,5,43,7,0,2366
YAML,/Users/ropf/case_systems/cassandra/conf/cassandra-topology.yaml,cassandra-topology.yaml,25,7,14,4,0,916
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/Validator.java,Validator.java,247,162,56,29,16,8339
Java,/Users/ropf/case_systems/cassandra/examples/hadoop_word_count/src/WordCount.java,WordCount.java,226,163,29,34,18,9325
YAML,/Users/ropf/case_systems/cassandra/conf/metrics-reporter-config-sample.yaml,metrics-reporter-config-sample.yaml,41,17,18,6,0,1603
Properties File,/Users/ropf/case_systems/cassandra/conf/cassandra-rackdc.properties,cassandra-rackdc.properties,27,2,22,3,0,1199
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/INotificationConsumer.java,INotificationConsumer.java,23,5,17,1,0,966
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/SnapshotTask.java,SnapshotTask.java,80,41,28,11,0,2531
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/Differencer.java,Differencer.java,136,80,38,18,9,5089
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairFuture.java,RepairFuture.java,31,11,17,3,0,1102
Powershell,/Users/ropf/case_systems/cassandra/conf/cassandra-env.ps1,cassandra-env.ps1,410,264,100,46,42,15970
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairJobDesc.java,RepairJobDesc.java,137,98,24,15,25,5323
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/SSTableListChangedNotification.java,SSTableListChangedNotification.java,38,16,17,5,0,1475
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/stringtemplate-4.0.2.txt,stringtemplate-4.0.2.txt,27,22,0,5,0,1406
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/SSTableDeletingNotification.java,SSTableDeletingNotification.java,33,10,20,3,0,1178
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/client/RingCache.java,RingCache.java,122,84,24,14,4,4371
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairMessageVerbHandler.java,RepairMessageVerbHandler.java,144,107,25,12,7,6586
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/six-1.7.3.txt,six-1.7.3.txt,18,15,0,3,0,1066
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/commons-lang3-3.1.txt,commons-lang3-3.1.txt,202,169,0,33,0,11358
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/jna-4.0.0.txt,jna-4.0.0.txt,202,169,0,33,0,11357
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/commons-codec-1.2.txt,commons-codec-1.2.txt,202,169,0,33,0,11358
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/concurrentlinkedhashmap-lru-1.4.txt,concurrentlinkedhashmap-lru-1.4.txt,202,169,0,33,0,11358
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/compress-lzf-0.8.4.txt,compress-lzf-0.8.4.txt,11,9,0,2,0,549
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/cassandra-driver-2.1.3.txt,cassandra-driver-2.1.3.txt,177,150,0,27,0,10174
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/snakeyaml-1.11.txt,snakeyaml-1.11.txt,202,169,0,33,0,11358
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/stream-2.5.2.txt,stream-2.5.2.txt,202,169,0,33,0,11355
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/snappy-java-1.0.5.txt,snappy-java-1.0.5.txt,209,174,0,35,0,11609
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/jline-1.0.txt,jline-1.0.txt,33,27,0,6,0,1489
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/futures-2.1.6.txt,futures-2.1.6.txt,21,18,0,3,0,1283
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/netty-all-4.0.23.Final.txt,netty-all-4.0.23.Final.txt,202,169,0,33,0,11358
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/logback-classic-1.1.2.txt,logback-classic-1.1.2.txt,70,44,0,26,0,11232
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/high-scale-lib-1.0.6.txt,high-scale-lib-1.0.6.txt,29,25,0,4,0,1596
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/libthrift-0.9.2.txt,libthrift-0.9.2.txt,202,169,0,33,0,11358
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/thrift-server-0.3.5.txt,thrift-server-0.3.5.txt,202,169,0,33,0,11358
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/DigestMismatchException.java,DigestMismatchException.java,35,15,17,3,0,1398
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/RangeSliceVerbHandler.java,RangeSliceVerbHandler.java,52,31,19,2,1,2090
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/jamm-0.3.0.txt,jamm-0.3.0.txt,202,169,0,33,0,11358
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/IRequestProcessor.java,IRequestProcessor.java,23,5,17,1,0,915
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/IReadCommand.java,IReadCommand.java,24,6,17,1,0,942
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/guava-16.0.txt,guava-16.0.txt,202,169,0,33,0,11358
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/SliceByNamesReadCommand.java,SliceByNamesReadCommand.java,118,84,17,17,0,4569
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairJob.java,RepairJob.java,231,153,57,21,11,8647
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/commons-math3-3.2.txt,commons-math3-3.2.txt,202,169,0,33,0,11358
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/antlr-runtime-3.5.2.txt,antlr-runtime-3.5.2.txt,27,22,0,5,0,1406
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/CFRowAdder.java,CFRowAdder.java,110,75,24,11,5,4282
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ReadCommand.java,ReadCommand.java,176,132,20,24,5,5584
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/StreamingRepairTask.java,StreamingRepairTask.java,107,61,34,12,5,4644
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairSession.java,RepairSession.java,388,241,101,46,31,15887
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ReadRepairVerbHandler.java,ReadRepairVerbHandler.java,32,13,17,2,0,1303
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/disruptor-3.0.1.txt,disruptor-3.0.1.txt,201,169,0,32,0,11355
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/DatacenterAwareRequestCoordinator.java,DatacenterAwareRequestCoordinator.java,73,48,18,7,6,2510
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/jbcrypt-0.3m.txt,jbcrypt-0.3m.txt,17,16,0,1,0,836
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/TruncateResponseHandler.java,TruncateResponseHandler.java,80,51,19,10,2,2907
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/jackson-core-asl-1.9.2.txt,jackson-core-asl-1.9.2.txt,202,169,0,33,0,11358
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/SequentialRequestCoordinator.java,SequentialRequestCoordinator.java,58,34,17,7,3,1726
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/super-csv-2.1.0.txt,super-csv-2.1.0.txt,202,169,0,33,0,11358
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/metrics-core-2.2.0.txt,metrics-core-2.2.0.txt,202,169,0,33,0,11362
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/IRepairJobEventListener.java,IRepairJobEventListener.java,31,5,24,2,0,1131
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/CounterMutationVerbHandler.java,CounterMutationVerbHandler.java,64,34,25,5,0,2770
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/AbstractNativeCell.java,AbstractNativeCell.java,706,561,53,92,79,22851
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/NodePair.java,NodePair.java,84,50,22,12,7,2875
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/Mutation.java,Mutation.java,351,258,40,53,25,12075
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/TreeResponse.java,TreeResponse.java,37,13,20,4,0,1218
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ColumnSerializer.java,ColumnSerializer.java,188,138,33,17,16,6839
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/logback-core-1.1.2.txt,logback-core-1.1.2.txt,70,44,0,26,0,11232
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/messages/ValidationComplete.java,ValidationComplete.java,90,57,24,9,4,3289
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/messages/RepairMessage.java,RepairMessage.java,105,69,22,14,3,3750
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/AbstractWriteResponseHandler.java,AbstractWriteResponseHandler.java,119,79,26,14,5,4615
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ReadResponse.java,ReadResponse.java,114,77,23,14,8,3720
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/messages/AnticompactionRequest.java,AnticompactionRequest.java,56,32,17,7,0,2222
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/messages/ValidationRequest.java,ValidationRequest.java,81,48,22,11,7,2666
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/messages/PrepareMessage.java,PrepareMessage.java,101,74,17,10,6,4084
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/RangeTombstoneList.java,RangeTombstoneList.java,941,639,183,119,134,33864
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/messages/SyncComplete.java,SyncComplete.java,80,48,23,9,0,2994
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/messages/SnapshotMessage.java,SnapshotMessage.java,53,29,17,7,0,1979
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/lz4-1.2.0.txt,lz4-1.2.0.txt,235,195,0,40,0,12953
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/jackson-mapper-asl-1.9.2.txt,jackson-mapper-asl-1.9.2.txt,202,169,0,33,0,11358
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/reporter-config-2.1.0.txt,reporter-config-2.1.0.txt,177,150,0,27,0,9724
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/airline-0.6.txt,airline-0.6.txt,202,169,0,33,0,11358
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/TruncateResponse.java,TruncateResponse.java,76,46,21,9,0,2776
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/javax.inject.txt,javax.inject.txt,202,169,0,33,0,11358
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/TypeSizes.java,TypeSizes.java,156,117,18,21,10,4153
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/NativeDecoratedKey.java,NativeDecoratedKey.java,46,24,17,5,1,1676
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ColumnFamily.java,ColumnFamily.java,551,344,131,76,38,19083
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ConsistencyLevel.java,ConsistencyLevel.java,363,302,30,31,44,14061
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/BufferCell.java,BufferCell.java,103,70,17,16,2,3077
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/IExecutorMBean.java,IExecutorMBean.java,41,8,29,4,0,1257
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/AbstractTracingAwareExecutorService.java,AbstractTracingAwareExecutorService.java,229,179,18,32,9,7012
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/SharedExecutorPool.java,SharedExecutorPool.java,99,38,51,10,9,5168
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/NamedThreadFactory.java,NamedThreadFactory.java,55,26,22,7,0,1795
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/StorageProxy.java,StorageProxy.java,2311,1704,355,252,203,110020
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/SizeEstimatesRecorder.java,SizeEstimatesRecorder.java,127,79,32,16,7,4740
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/messages/SyncRequest.java,SyncRequest.java,95,64,23,8,3,4095
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/SnapshotVerbHandler.java,SnapshotVerbHandler.java,46,25,17,4,1,1977
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/IResponseResolver.java,IResponseResolver.java,43,9,28,6,0,1726
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/MigrationListener.java,MigrationListener.java,33,13,17,3,0,1478
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/CounterMutation.java,CounterMutation.java,337,251,40,46,33,12393
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/EchoVerbHandler.java,EchoVerbHandler.java,42,18,20,4,0,1685
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/CacheService.java,CacheService.java,509,399,26,84,29,18439
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ExpiringCell.java,ExpiringCell.java,44,12,27,5,0,1911
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/KeyspaceNotDefinedException.java,KeyspaceNotDefinedException.java,28,9,17,2,0,1065
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/AtomDeserializer.java,AtomDeserializer.java,128,64,52,12,6,4713
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/NativeExpiringCell.java,NativeExpiringCell.java,195,143,25,27,14,5816
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/BufferCounterUpdateCell.java,BufferCounterUpdateCell.java,96,62,20,14,1,3325
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/DatacenterWriteResponseHandler.java,DatacenterWriteResponseHandler.java,58,31,22,5,3,2369
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/Stage.java,Stage.java,65,45,17,3,2,1855
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hadoop/HadoopCompat.java,HadoopCompat.java,309,212,71,26,4,13226
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/PagedRangeCommand.java,PagedRangeCommand.java,215,161,19,35,8,8841
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hadoop/AbstractColumnFamilyInputFormat.java,AbstractColumnFamilyInputFormat.java,360,288,37,35,45,15764
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ReadVerbHandler.java,ReadVerbHandler.java,73,48,18,7,2,2715
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/CASRequest.java,CASRequest.java,45,10,31,4,0,1718
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/SchemaCheckVerbHandler.java,SchemaCheckVerbHandler.java,42,20,17,5,0,1702
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/WriteResponseHandler.java,WriteResponseHandler.java,81,50,20,11,2,2914
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/HintedHandOffManager.java,HintedHandOffManager.java,612,445,96,71,49,25435
