Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
License,/Users/ropf/case_systems/gaffer/LICENSE,LICENSE,202,169,0,33,0,11358
XML,/Users/ropf/case_systems/gaffer/pom.xml,pom.xml,591,550,20,21,0,24338
Markdown,/Users/ropf/case_systems/gaffer/README.md,README.md,59,37,0,22,0,2786
gitignore,/Users/ropf/case_systems/gaffer/.gitignore,.gitignore,27,14,12,1,0,711
YAML,/Users/ropf/case_systems/gaffer/.travis.yml,.travis.yml,15,15,0,0,0,265
JavaScript,/Users/ropf/case_systems/gaffer/rest-api/dependencies/swagger/js/jquery.wiggle.min.js,jquery.wiggle.min.js,8,2,6,0,1,762
Java,/Users/ropf/case_systems/gaffer/rest-api/src/main/java/gaffer/rest/serialisation/RestJsonProvider.java,RestJsonProvider.java,44,20,19,5,0,1453
Java,/Users/ropf/case_systems/gaffer/rest-api/src/main/java/gaffer/rest/GraphFactory.java,GraphFactory.java,130,85,23,22,15,4514
XML,/Users/ropf/case_systems/gaffer/store-implementation/accumulo-store/pom.xml,pom.xml,172,144,18,10,0,6334
JavaScript,/Users/ropf/case_systems/gaffer/rest-api/dependencies/swagger/js/jquery.slideto.min.js,jquery.slideto.min.js,1,1,0,0,0,369
Java,/Users/ropf/case_systems/gaffer/store-implementation/array-list-store/src/main/java/gaffer/arrayliststore/export/ArrayListStoreExporter.java,ArrayListStoreExporter.java,54,27,20,7,1,1735
JavaScript,/Users/ropf/case_systems/gaffer/rest-api/dependencies/swagger/js/highlight.9.1.0.pack_extended.js,highlight.9.1.0.pack_extended.js,34,18,7,9,3,1025
XML,/Users/ropf/case_systems/gaffer/store-implementation/pom.xml,pom.xml,35,15,15,5,0,1241
Java,/Users/ropf/case_systems/gaffer/store-implementation/accumulo-store/src/main/java/gaffer/accumulostore/AccumuloProperties.java,AccumuloProperties.java,373,143,189,41,0,13836
XML,/Users/ropf/case_systems/gaffer/store-implementation/array-list-store/pom.xml,pom.xml,87,64,17,6,0,3137
Java,/Users/ropf/case_systems/gaffer/store-implementation/array-list-store/src/main/java/gaffer/arrayliststore/ArrayListStore.java,ArrayListStore.java,122,80,26,16,3,4350
XML,/Users/ropf/case_systems/gaffer/rest-api/pom.xml,pom.xml,188,170,15,3,0,7309
Java,/Users/ropf/case_systems/gaffer/rest-api/src/main/java/gaffer/rest/SystemStatus.java,SystemStatus.java,40,17,15,8,0,1068
Java,/Users/ropf/case_systems/gaffer/rest-api/src/main/java/gaffer/rest/SystemProperty.java,SystemProperty.java,42,16,23,3,0,1865
XML,/Users/ropf/case_systems/gaffer/docs/intellij-style.xml,intellij-style.xml,29,13,15,1,0,1133
Java,/Users/ropf/case_systems/gaffer/rest-api/src/main/java/gaffer/rest/filter/OriginFilter.java,OriginFilter.java,47,27,15,5,0,1702
Java,/Users/ropf/case_systems/gaffer/rest-api/src/main/java/gaffer/rest/service/IOperationService.java,IOperationService.java,127,91,19,17,0,5593
JavaScript,/Users/ropf/case_systems/gaffer/rest-api/dependencies/swagger/js/backbone-min.js,backbone-min.js,16,9,5,2,7,20511
Java,/Users/ropf/case_systems/gaffer/rest-api/src/main/java/gaffer/rest/application/ApplicationConfig.java,ApplicationConfig.java,79,52,18,9,1,2786
Java,/Users/ropf/case_systems/gaffer/rest-api/src/main/java/gaffer/rest/example/ExampleFilterFunction.java,ExampleFilterFunction.java,34,15,15,4,0,1047
Plain Text,/Users/ropf/case_systems/gaffer/docs/licenseHeader.txt,licenseHeader.txt,15,15,0,0,0,702
XML,/Users/ropf/case_systems/gaffer/docs/checkstyle.xml,checkstyle.xml,111,78,15,18,0,3779
XML,/Users/ropf/case_systems/gaffer/store-implementation/accumulo-store/src/main/resources/log4j.xml,log4j.xml,38,14,23,1,0,1601
