Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
License,/Users/ropf/case_systems/gaffer/LICENSE,LICENSE,202,169,0,33,0,11358
XML,/Users/ropf/case_systems/gaffer/findbugs-exclude.xml,findbugs-exclude.xml,21,6,15,0,0,751
XML,/Users/ropf/case_systems/gaffer/pom.xml,pom.xml,1098,1049,26,23,0,47931
Markdown,/Users/ropf/case_systems/gaffer/README.md,README.md,90,60,0,30,0,3822
YAML,/Users/ropf/case_systems/gaffer/.travis.yml,.travis.yml,24,24,0,0,0,3249
gitignore,/Users/ropf/case_systems/gaffer/.gitignore,.gitignore,29,16,12,1,0,729
XML,/Users/ropf/case_systems/gaffer/store-implementation/pom.xml,pom.xml,35,17,15,3,0,1324
JavaScript,/Users/ropf/case_systems/gaffer/rest-api/core-rest/dependencies/swagger/js/highlight.9.1.0.pack_extended.js,highlight.9.1.0.pack_extended.js,34,18,7,9,3,1025
XML,/Users/ropf/case_systems/gaffer/rest-api/core-rest/pom.xml,pom.xml,188,164,18,6,0,7337
JavaScript,/Users/ropf/case_systems/gaffer/rest-api/core-rest/dependencies/swagger/js/jquery.ba-bbq.min.js,jquery.ba-bbq.min.js,18,2,16,0,0,4119
JavaScript,/Users/ropf/case_systems/gaffer/rest-api/core-rest/dependencies/swagger/js/marked.js,marked.js,1272,1023,108,141,80,28156
JavaScript,/Users/ropf/case_systems/gaffer/rest-api/core-rest/dependencies/swagger/js/handlebars-2.0.0.js,handlebars-2.0.0.js,28,2,26,0,0,48517
Java,/Users/ropf/case_systems/gaffer/store-implementation/map-store/src/main/java/uk/gov/gchq/gaffer/mapstore/MapStoreProperties.java,MapStoreProperties.java,63,34,18,11,0,1903
JavaScript,/Users/ropf/case_systems/gaffer/rest-api/core-rest/dependencies/swagger/js/jquery-1.8.0.min.js,jquery-1.8.0.min.js,2,1,1,0,14,92555
Markdown,/Users/ropf/case_systems/gaffer/store-implementation/map-store/README.md,README.md,34,22,0,12,0,1850
XML,/Users/ropf/case_systems/gaffer/store-implementation/map-store/pom.xml,pom.xml,81,58,17,6,0,3014
Markdown,/Users/ropf/case_systems/gaffer/rest-api/README.md,README.md,25,17,0,8,0,949
JavaScript,/Users/ropf/case_systems/gaffer/rest-api/core-rest/dependencies/swagger/js/jsoneditor.min.js,jsoneditor.min.js,11,5,6,0,16,130042
JavaScript,/Users/ropf/case_systems/gaffer/rest-api/core-rest/dependencies/swagger/js/lodash.min.js,lodash.min.js,102,97,5,0,13,52646
