Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
License,/Users/ropf/case_systems/gaffer/LICENSE,LICENSE,202,169,0,33,0,11358
XML,/Users/ropf/case_systems/gaffer/pom.xml,pom.xml,433,392,20,21,0,17480
gitignore,/Users/ropf/case_systems/gaffer/.gitignore,.gitignore,27,14,12,1,0,711
Markdown,/Users/ropf/case_systems/gaffer/README.md,README.md,92,68,0,24,0,6770
Java,/Users/ropf/case_systems/gaffer/rest-api/src/main/java/gaffer/rest/listeners/InitialiseListener.java,InitialiseListener.java,40,15,19,6,0,1242
Java,/Users/ropf/case_systems/gaffer/rest-api/src/main/java/gaffer/rest/service/IOperationService.java,IOperationService.java,147,111,19,17,0,6724
Java,/Users/ropf/case_systems/gaffer/rest-api/src/main/java/gaffer/rest/service/IGraphConfigurationService.java,IGraphConfigurationService.java,75,47,19,9,0,2795
Java,/Users/ropf/case_systems/gaffer/simple-operation-library/src/main/java/gaffer/operation/simple/hdfs/handler/AbstractAddElementsFromHdfsJobFactory.java,AbstractAddElementsFromHdfsJobFactory.java,90,52,25,13,6,3965
Java,/Users/ropf/case_systems/gaffer/rest-api/src/test/java/gaffer/rest/service/ExamplesServiceTest.java,ExamplesServiceTest.java,165,115,21,29,0,5787
Java,/Users/ropf/case_systems/gaffer/rest-api/src/main/java/gaffer/rest/service/SimpleGraphConfigurationService.java,SimpleGraphConfigurationService.java,134,91,24,19,10,4762
Java,/Users/ropf/case_systems/gaffer/rest-api/src/main/java/gaffer/rest/service/IExamplesService.java,IExamplesService.java,109,67,26,16,0,3791
Java,/Users/ropf/case_systems/gaffer/rest-api/src/main/java/gaffer/rest/service/SimpleOperationService.java,SimpleOperationService.java,203,137,39,27,3,7202
YAML,/Users/ropf/case_systems/gaffer/.travis.yml,.travis.yml,5,5,0,0,0,146
Java,/Users/ropf/case_systems/gaffer/rest-api/src/test/java/gaffer/rest/GraphFactoryTest.java,GraphFactoryTest.java,89,40,30,19,0,2653
