Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
XML,/Users/ropf/case_systems/gaffer/findbugs-exclude.xml,findbugs-exclude.xml,21,6,15,0,0,751
License,/Users/ropf/case_systems/gaffer/LICENSE,LICENSE,202,169,0,33,0,11358
Markdown,/Users/ropf/case_systems/gaffer/README.md,README.md,90,60,0,30,0,3817
gitignore,/Users/ropf/case_systems/gaffer/.gitignore,.gitignore,31,18,12,1,0,751
XML,/Users/ropf/case_systems/gaffer/pom.xml,pom.xml,1206,1157,26,23,0,52512
YAML,/Users/ropf/case_systems/gaffer/.travis.yml,.travis.yml,43,38,0,5,0,4109
XML,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/pom.xml,pom.xml,69,49,17,3,0,2602
Java,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/test/java/uk/gov/gchq/gaffer/proxystore/SingleUseMapProxyStore.java,SingleUseMapProxyStore.java,69,36,26,7,0,2861
JSON,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/resources/schemaUsingStringVertexType/dataTypes.json,dataTypes.json,37,37,0,0,0,763
JSON,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/resources/schemaUsingTypeValueVertexType/storeTypes.json,storeTypes.json,49,49,0,0,0,1237
Java,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/main/java/uk/gov/gchq/gaffer/parquetstore/ParquetStore.java,ParquetStore.java,240,191,22,27,11,10198
JSON,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/resources/schemaUsingTypeValueVertexType/dataTypes.json,dataTypes.json,37,37,0,0,0,784
Java,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/java/uk/gov/gchq/gaffer/parquetstore/ParquetStoreTest.java,ParquetStoreTest.java,43,21,15,7,0,1424
JSON,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/resources/schemaUsingStringVertexType/dataSchema.json,dataSchema.json,72,72,0,0,0,1970
Java,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/main/java/uk/gov/gchq/gaffer/parquetstore/SingleUseParquetStore.java,SingleUseParquetStore.java,64,38,20,6,3,2395
JSON,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/resources/schemaUsingStringVertexType/storeSchema.json,storeSchema.json,3,3,0,0,0,108
JSON,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/resources/schemaUsingTypeValueVertexType/dataSchema.json,dataSchema.json,72,72,0,0,0,1988
Java,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/java/uk/gov/gchq/gaffer/parquetstore/ParquetStorePropertiesTest.java,ParquetStorePropertiesTest.java,84,56,16,12,0,2637
XML,/Users/ropf/case_systems/gaffer/store-implementation/pom.xml,pom.xml,36,18,15,3,0,1363
Java,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/java/uk/gov/gchq/gaffer/parquetstore/testutils/TestUtils.java,TestUtils.java,132,114,6,12,12,4914
Properties File,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/resources/multiUseStore.properties,multiUseStore.properties,20,4,15,1,0,820
Properties File,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/resources/store.properties,store.properties,20,4,15,1,0,829
Markdown,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/README.md,README.md,412,334,0,78,0,20787
JSON,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/resources/schemaUsingStringVertexType/storeTypes.json,storeTypes.json,49,49,0,0,0,1237
Java,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/main/java/uk/gov/gchq/gaffer/proxystore/ProxyStore.java,ProxyStore.java,366,297,18,51,11,14146
JSON,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/resources/schemaUsingTypeValueVertexType/storeSchema.json,storeSchema.json,3,3,0,0,0,111
Java,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/test/java/uk/gov/gchq/gaffer/proxystore/integration/ProxyStoreITs.java,ProxyStoreITs.java,38,18,15,5,0,1470
Java,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/java/uk/gov/gchq/gaffer/parquetstore/testutils/DataGen.java,DataGen.java,270,226,15,29,8,15452
Java,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/main/java/uk/gov/gchq/gaffer/parquetstore/ParquetStoreProperties.java,ParquetStoreProperties.java,128,79,26,23,0,5212
JSON,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/resources/schemaUsingLongVertexType/storeTypes.json,storeTypes.json,49,49,0,0,0,1237
Java,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/java/uk/gov/gchq/gaffer/parquetstore/integration/ParquetStoreITs.java,ParquetStoreITs.java,59,37,15,7,2,2143
Java,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/test/java/uk/gov/gchq/gaffer/proxystore/integration/ProxyStoreBasicIT.java,ProxyStoreBasicIT.java,208,153,29,26,1,7787
Java,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/main/java/uk/gov/gchq/gaffer/parquetstore/serialisation/ParquetSerialiser.java,ParquetSerialiser.java,61,10,45,6,0,2689
Java,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/java/uk/gov/gchq/gaffer/parquetstore/utils/ExtractKeyFromRowTest.java,ExtractKeyFromRowTest.java,133,109,15,9,2,5988
Java,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/main/java/uk/gov/gchq/gaffer/parquetstore/index/GraphIndex.java,GraphIndex.java,78,46,21,11,3,2915
JSON,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/resources/schemaUsingLongVertexType/dataTypes.json,dataTypes.json,37,37,0,0,0,759
XML,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/pom.xml,pom.xml,94,72,16,6,0,3527
Java,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/main/java/uk/gov/gchq/gaffer/parquetstore/index/ColumnIndex.java,ColumnIndex.java,154,122,20,12,28,6518
Markdown,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/README.md,README.md,50,38,0,12,0,1475
JSON,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/resources/schemaUsingLongVertexType/dataSchema.json,dataSchema.json,72,72,0,0,0,1958
Java,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/main/java/uk/gov/gchq/gaffer/parquetstore/index/GroupIndex.java,GroupIndex.java,88,58,21,9,4,3774
JSON,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/test/resources/schemaUsingLongVertexType/storeSchema.json,storeSchema.json,3,3,0,0,0,106
Java,/Users/ropf/case_systems/gaffer/store-implementation/parquet-store/src/main/java/uk/gov/gchq/gaffer/parquetstore/index/MinValuesWithPath.java,MinValuesWithPath.java,57,30,20,7,0,2136
