Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
XML,/Users/ropf/case_systems/gaffer/findbugs-exclude.xml,findbugs-exclude.xml,21,6,15,0,0,751
Markdown,/Users/ropf/case_systems/gaffer/README.md,README.md,77,50,0,27,0,3561
XML,/Users/ropf/case_systems/gaffer/pom.xml,pom.xml,932,883,25,24,0,39583
gitignore,/Users/ropf/case_systems/gaffer/.gitignore,.gitignore,28,15,12,1,0,717
YAML,/Users/ropf/case_systems/gaffer/.travis.yml,.travis.yml,24,24,0,0,0,3216
License,/Users/ropf/case_systems/gaffer/LICENSE,LICENSE,202,169,0,33,0,11358
XML,/Users/ropf/case_systems/gaffer/store-implementation/pom.xml,pom.xml,36,18,15,3,0,1306
XML,/Users/ropf/case_systems/gaffer/store-implementation/array-list-store/pom.xml,pom.xml,87,64,17,6,0,3253
Java,/Users/ropf/case_systems/gaffer/store-implementation/array-list-store/src/main/java/uk/gov/gchq/gaffer/arrayliststore/ArrayListStore.java,ArrayListStore.java,122,80,26,16,3,4626
XML,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/pom.xml,pom.xml,122,100,16,6,0,4556
Properties File,/Users/ropf/case_systems/gaffer/store-implementation/array-list-store/src/test/resources/store.properties,store.properties,16,1,15,0,0,651
JSON,/Users/ropf/case_systems/gaffer/store-implementation/array-list-store/src/test/resources/schema/schema.json,schema.json,26,26,0,0,0,454
Java,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/main/java/uk/gov/gchq/gaffer/proxystore/ProxyProperties.java,ProxyProperties.java,150,109,15,26,7,5089
Java,/Users/ropf/case_systems/gaffer/store-implementation/array-list-store/src/main/java/uk/gov/gchq/gaffer/arrayliststore/operation/handler/GetElementsHandler.java,GetElementsHandler.java,180,150,15,15,64,7687
Java,/Users/ropf/case_systems/gaffer/store-implementation/array-list-store/src/main/java/uk/gov/gchq/gaffer/arrayliststore/operation/handler/GetAdjacentEntitySeedsHandler.java,GetAdjacentEntitySeedsHandler.java,103,68,23,12,25,4508
Java,/Users/ropf/case_systems/gaffer/store-implementation/array-list-store/src/main/java/uk/gov/gchq/gaffer/arrayliststore/operation/handler/InitialiseArrayListStoreExport.java,InitialiseArrayListStoreExport.java,45,24,15,6,0,1562
Java,/Users/ropf/case_systems/gaffer/store-implementation/array-list-store/src/main/java/uk/gov/gchq/gaffer/arrayliststore/operation/handler/AddElementsHandler.java,AddElementsHandler.java,61,38,15,8,1,2425
Properties File,/Users/ropf/case_systems/gaffer/store-implementation/accumulo-store/src/test/resources/accumuloStoreClassicKeys.properties,accumuloStoreClassicKeys.properties,32,17,15,0,0,1356
JSON,/Users/ropf/case_systems/gaffer/store-implementation/accumulo-store/src/test/resources/schema-IT/accumuloAggregationStoreTypes.json,accumuloAggregationStoreTypes.json,16,16,0,0,0,255
Properties File,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/test/resources/proxy-store.properties,proxy-store.properties,20,5,15,0,0,787
JSON,/Users/ropf/case_systems/gaffer/store-implementation/accumulo-store/src/test/resources/schema/dataTypes.json,dataTypes.json,19,19,0,0,0,344
JSON,/Users/ropf/case_systems/gaffer/store-implementation/accumulo-store/src/test/resources/schema/dataSchema.json,dataSchema.json,64,64,0,0,0,1779
JSON,/Users/ropf/case_systems/gaffer/store-implementation/accumulo-store/src/test/resources/schema/storeSchema.json,storeSchema.json,3,3,0,0,0,97
