Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
XML,/Users/ropf/case_systems/cassandra/ivysettings.xml,ivysettings.xml,31,12,18,1,0,1207
Plain Text,/Users/ropf/case_systems/cassandra/NEWS.txt,NEWS.txt,195,149,0,46,0,7309
XML,/Users/ropf/case_systems/cassandra/ivy.xml,ivy.xml,36,11,21,4,0,1455
Plain Text,/Users/ropf/case_systems/cassandra/NOTICE.txt,NOTICE.txt,25,18,0,7,0,904
Plain Text,/Users/ropf/case_systems/cassandra/README.txt,README.txt,100,72,0,28,0,3499
Plain Text,/Users/ropf/case_systems/cassandra/CHANGES.txt,CHANGES.txt,570,516,0,54,0,28370
Plain Text,/Users/ropf/case_systems/cassandra/LICENSE.txt,LICENSE.txt,209,174,0,35,0,11609
XML,/Users/ropf/case_systems/cassandra/build.xml,build.xml,435,341,56,38,0,16522
Properties File,/Users/ropf/case_systems/cassandra/conf/log4j-tools.properties,log4j-tools.properties,27,5,19,3,0,1228
Properties File,/Users/ropf/case_systems/cassandra/conf/passwd.properties,passwd.properties,23,3,20,0,0,1122
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/jackson-core-asl-1.4.0.txt,jackson-core-asl-1.4.0.txt,202,169,0,33,0,11358
XML,/Users/ropf/case_systems/cassandra/conf/storage-conf.xml,storage-conf.xml,413,67,312,34,0,18515
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/json-simple-1.1.txt,json-simple-1.1.txt,202,169,0,33,0,11358
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/slf4j-log4j12-1.5.8.txt,slf4j-log4j12-1.5.8.txt,20,17,0,3,0,1077
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/clhm-production.txt,clhm-production.txt,202,169,0,33,0,11358
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/commons-codec-1.2.txt,commons-codec-1.2.txt,202,169,0,33,0,11358
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/slf4j-api-1.5.8.txt,slf4j-api-1.5.8.txt,20,17,0,3,0,1077
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/hadoop-core-0.20.1.txt,hadoop-core-0.20.1.txt,202,169,0,33,0,11358
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/client/RingCache.java,RingCache.java,111,76,22,13,5,4291
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/commons-collections-3.2.1.txt,commons-collections-3.2.1.txt,202,169,0,33,0,11358
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/commons-cli-1.1.txt,commons-cli-1.1.txt,202,169,0,33,0,11358
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/jackson-mapper-asl-1.4.0.txt,jackson-mapper-asl-1.4.0.txt,202,169,0,33,0,11358
Plain Text,/Users/ropf/case_systems/cassandra/contrib/py_stress/README.txt,README.txt,65,52,0,13,0,2516
Properties File,/Users/ropf/case_systems/cassandra/conf/access.properties,access.properties,22,1,21,0,0,1130
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/libthrift-r917130.txt,libthrift-r917130.txt,202,169,0,33,0,11358
Properties File,/Users/ropf/case_systems/cassandra/conf/log4j.properties,log4j.properties,40,10,25,5,0,1741
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/DigestMismatchException.java,DigestMismatchException.java,27,8,17,2,0,978
Plain Text,/Users/ropf/case_systems/cassandra/lib/licenses/log4j-1.2.14.txt,log4j-1.2.14.txt,202,169,0,33,0,11358
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/RangeSliceVerbHandler.java,RangeSliceVerbHandler.java,56,34,17,5,1,2390
