Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
Plain Text,/Users/ropf/case_systems/cassandra/NEWS.txt,NEWS.txt,195,149,0,46,0,7304
XML,/Users/ropf/case_systems/cassandra/ivysettings.xml,ivysettings.xml,31,12,18,1,0,1207
XML,/Users/ropf/case_systems/cassandra/ivy.xml,ivy.xml,36,11,21,4,0,1455
Plain Text,/Users/ropf/case_systems/cassandra/CHANGES.txt,CHANGES.txt,619,559,0,60,0,30736
XML,/Users/ropf/case_systems/cassandra/build.xml,build.xml,547,444,59,44,0,21429
Plain Text,/Users/ropf/case_systems/cassandra/NOTICE.txt,NOTICE.txt,25,18,0,7,0,904
Plain Text,/Users/ropf/case_systems/cassandra/README.txt,README.txt,100,72,0,28,0,3499
Plain Text,/Users/ropf/case_systems/cassandra/LICENSE.txt,LICENSE.txt,209,174,0,35,0,11609
Properties File,/Users/ropf/case_systems/cassandra/conf/log4j-tools.properties,log4j-tools.properties,27,5,19,3,0,1228
Properties File,/Users/ropf/case_systems/cassandra/conf/passwd.properties,passwd.properties,23,3,20,0,0,1122
Properties File,/Users/ropf/case_systems/cassandra/conf/access.properties,access.properties,22,1,21,0,0,1130
Properties File,/Users/ropf/case_systems/cassandra/conf/log4j.properties,log4j.properties,40,10,25,5,0,1741
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/RangeSliceVerbHandler.java,RangeSliceVerbHandler.java,62,38,18,6,2,2610
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/LoadDisseminator.java,LoadDisseminator.java,39,17,17,5,1,1531
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/QuorumResponseHandler.java,QuorumResponseHandler.java,85,58,17,10,3,3029
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/client/RingCache.java,RingCache.java,113,79,22,12,5,4363
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/EmbeddedCassandraService.java,EmbeddedCassandraService.java,73,17,49,7,0,2230
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/AntiEntropyService.java,AntiEntropyService.java,656,406,188,62,48,25649
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/RangeSliceResponseResolver.java,RangeSliceResponseResolver.java,137,96,22,19,2,5003
XML,/Users/ropf/case_systems/cassandra/conf/storage-conf.xml,storage-conf.xml,413,67,312,34,0,18515
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/DigestMismatchException.java,DigestMismatchException.java,32,12,17,3,0,1264
Plain Text,/Users/ropf/case_systems/cassandra/contrib/py_stress/README.txt,README.txt,65,52,0,13,0,2516
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/SliceByNamesReadCommand.java,SliceByNamesReadCommand.java,110,81,17,12,3,3772
Python,/Users/ropf/case_systems/cassandra/contrib/py_stress/stress.py,stress.py,351,297,34,20,17,14431
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/IExecutorMBean.java,IExecutorMBean.java,38,7,27,4,0,1168
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ReadCommand.java,ReadCommand.java,121,82,17,22,0,3978
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/Context.java,Context.java,51,23,20,8,0,1393
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/NamedThreadFactory.java,NamedThreadFactory.java,55,25,22,8,0,1775
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/StorageLoadBalancer.java,StorageLoadBalancer.java,390,185,167,38,15,14965
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/JMXEnabledThreadPoolExecutor.java,JMXEnabledThreadPoolExecutor.java,122,77,32,13,2,4074
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/JMXConfigurableThreadPoolExecutorMBean.java,JMXConfigurableThreadPoolExecutorMBean.java,28,6,17,5,0,1018
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/JMXConfigurableThreadPoolExecutor.java,JMXConfigurableThreadPoolExecutor.java,37,15,17,5,0,1592
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/StageManager.java,StageManager.java,107,62,32,13,1,4746
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hadoop/ColumnFamilySplit.java,ColumnFamilySplit.java,116,74,25,17,5,3243
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hadoop/ColumnFamilyRecordReader.java,ColumnFamilyRecordReader.java,279,220,30,29,25,9637
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/JMXEnabledThreadPoolExecutorMBean.java,JMXEnabledThreadPoolExecutorMBean.java,23,4,18,1,0,911
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/RetryingScheduledThreadPoolExecutor.java,RetryingScheduledThreadPoolExecutor.java,114,75,20,19,0,3214
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/DebuggableThreadPoolExecutor.java,DebuggableThreadPoolExecutor.java,105,67,28,10,9,4117
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/AIOExecutorService.java,AIOExecutorService.java,309,68,223,18,0,12953
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/StorageProxyMBean.java,StorageProxyMBean.java,37,15,18,4,0,1367
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hadoop/ColumnFamilyInputFormat.java,ColumnFamilyInputFormat.java,226,155,48,23,10,8199
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/IResponseResolver.java,IResponseResolver.java,40,9,25,6,0,1612
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/IFailureDetector.java,IFailureDetector.java,75,11,55,9,0,2832
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hadoop/ConfigHelper.java,ConfigHelper.java,196,109,70,17,8,6984
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/IEndPointStateChangeSubscriber.java,IEndPointStateChangeSubscriber.java,50,10,32,8,0,1985
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/GossipDigest.java,GossipDigest.java,108,72,21,15,2,3193
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/JoinMessage.java,JoinMessage.java,60,34,17,9,0,1773
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/EndPointState.java,EndPointState.java,200,136,30,34,6,5969
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/VersionGenerator.java,VersionGenerator.java,36,10,21,5,0,1194
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/GossipDigestAck2VerbHandler.java,GossipDigestAck2VerbHandler.java,61,33,21,7,1,2171
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/IFailureDetectionEventListener.java,IFailureDetectionEventListener.java,37,6,26,5,0,1238
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/Gossiper.java,Gossiper.java,884,618,180,86,117,37148
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/GossipDigestAckMessage.java,GossipDigestAckMessage.java,93,57,21,15,0,3173
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/GossipDigestSynMessage.java,GossipDigestSynMessage.java,144,100,21,23,4,4745
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/IEndPointStateChangePublisher.java,IEndPointStateChangePublisher.java,39,6,29,4,0,1525
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/ApplicationState.java,ApplicationState.java,104,55,32,17,0,3116
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/GossiperJoinVerbHandler.java,GossiperJoinVerbHandler.java,66,38,20,8,2,2192
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/ReadResponseResolver.java,ReadResponseResolver.java,226,164,42,20,31,7894
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/StorageServiceMBean.java,StorageServiceMBean.java,194,41,121,32,0,6317
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/PureRandom.java,PureRandom.java,81,47,23,11,9,2229
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/HeartBeatState.java,HeartBeatState.java,88,52,20,16,0,2247
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/GossipDigestAckVerbHandler.java,GossipDigestAckVerbHandler.java,85,52,22,11,6,3385
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/FailureDetectorMBean.java,FailureDetectorMBean.java,28,7,17,4,0,1018
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/thrift/ThriftGlue.java,ThriftGlue.java,70,40,20,10,0,2229
