Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
Plain Text,/Users/ropf/case_systems/cassandra/BUGS.txt,BUGS.txt,6,5,0,1,0,289
Plain Text,/Users/ropf/case_systems/cassandra/DISCLAIMER.txt,DISCLAIMER.txt,10,8,0,2,0,544
XML,/Users/ropf/case_systems/cassandra/build.xml,build.xml,291,221,43,27,0,11194
Plain Text,/Users/ropf/case_systems/cassandra/CHANGES.txt,CHANGES.txt,120,104,0,16,0,5346
Plain Text,/Users/ropf/case_systems/cassandra/README.txt,README.txt,95,67,0,28,0,3342
Plain Text,/Users/ropf/case_systems/cassandra/NOTICE.txt,NOTICE.txt,27,19,0,8,0,974
Plain Text,/Users/ropf/case_systems/cassandra/LICENSE.txt,LICENSE.txt,563,452,0,111,0,29468
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/ReadResponseResolver.java,ReadResponseResolver.java,176,119,46,11,15,6109
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/ConsistencyManager.java,ConsistencyManager.java,183,145,18,20,9,6341
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/DebuggableScheduledThreadPoolExecutor.java,DebuggableScheduledThreadPoolExecutor.java,74,40,26,8,8,2694
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/DebuggableThreadPoolExecutor.java,DebuggableThreadPoolExecutor.java,113,71,29,13,8,3785
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/MultiQuorumResponseHandler.java,MultiQuorumResponseHandler.java,246,169,61,16,12,9040
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/client/RingCache.java,RingCache.java,107,75,22,10,2,4493
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/SingleThreadedStage.java,SingleThreadedStage.java,99,57,26,16,0,3246
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/ThreadLocalContext.java,ThreadLocalContext.java,39,13,21,5,0,1315
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/IExecutorMBean.java,IExecutorMBean.java,24,5,18,1,0,905
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/AIOExecutorService.java,AIOExecutorService.java,319,78,223,18,0,13402
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/IStage.java,IStage.java,119,15,91,13,0,4496
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/Context.java,Context.java,51,23,20,8,0,1393
