Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
Plain Text,/Users/ropf/case_systems/cassandra/NOTICE.txt,NOTICE.txt,58,43,0,15,0,2031
Plain Text,/Users/ropf/case_systems/cassandra/NEWS.txt,NEWS.txt,1276,1069,0,207,0,53576
Plain Text,/Users/ropf/case_systems/cassandra/README.txt,README.txt,102,75,0,27,0,3569
XML,/Users/ropf/case_systems/cassandra/build.xml,build.xml,1386,1155,115,116,0,63583
Plain Text,/Users/ropf/case_systems/cassandra/LICENSE.txt,LICENSE.txt,209,174,0,35,0,11609
Plain Text,/Users/ropf/case_systems/cassandra/CHANGES.txt,CHANGES.txt,3097,2917,0,180,0,169427
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/INotification.java,INotification.java,30,4,24,2,0,1043
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/SSTableAddedNotification.java,SSTableAddedNotification.java,29,10,17,2,0,1108
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/INotificationConsumer.java,INotificationConsumer.java,23,5,17,1,0,966
YAML,/Users/ropf/case_systems/cassandra/src/resources/org/apache/cassandra/tools/NodeToolHelp.yaml,NodeToolHelp.yaml,199,182,16,1,0,7345
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/NodePair.java,NodePair.java,84,50,22,12,7,2846
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ReadRepairVerbHandler.java,ReadRepairVerbHandler.java,33,14,17,2,0,1338
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/client/RingCache.java,RingCache.java,124,85,24,15,4,4428
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/CounterMutationVerbHandler.java,CounterMutationVerbHandler.java,65,35,25,5,1,2854
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/CounterUpdateColumn.java,CounterUpdateColumn.java,98,56,29,13,2,3666
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ColumnSerializer.java,ColumnSerializer.java,167,121,33,13,12,6250
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/SliceByNamesReadCommand.java,SliceByNamesReadCommand.java,185,138,18,29,12,6769
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ReadCommand.java,ReadCommand.java,209,160,23,26,11,7474
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/RangeTombstoneList.java,RangeTombstoneList.java,752,503,170,79,93,25604
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/Validator.java,Validator.java,212,133,57,22,15,7641
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairSession.java,RepairSession.java,351,215,96,40,30,13713
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/StreamingRepairTask.java,StreamingRepairTask.java,107,57,38,12,1,4299
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/SSTableListChangedNotification.java,SSTableListChangedNotification.java,36,15,17,4,0,1437
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/TreeResponse.java,TreeResponse.java,37,13,20,4,0,1218
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairFuture.java,RepairFuture.java,31,11,17,3,0,1102
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairJobDesc.java,RepairJobDesc.java,121,82,24,15,12,4299
Properties File,/Users/ropf/case_systems/cassandra/conf/cassandra-rackdc.properties,cassandra-rackdc.properties,27,2,22,3,0,1199
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/messages/ValidationComplete.java,ValidationComplete.java,90,57,24,9,4,3260
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/messages/RepairMessage.java,RepairMessage.java,102,66,22,14,3,3548
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/messages/SyncComplete.java,SyncComplete.java,80,48,23,9,0,2965
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/messages/ValidationRequest.java,ValidationRequest.java,81,48,22,11,7,2637
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairJob.java,RepairJob.java,224,147,56,21,12,7873
YAML,/Users/ropf/case_systems/cassandra/src/resources/org/apache/cassandra/cli/CliHelp.yaml,CliHelp.yaml,1270,994,17,259,0,51153
Shell,/Users/ropf/case_systems/cassandra/conf/cassandra-env.sh,cassandra-env.sh,252,121,100,31,16,9689
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairMessageVerbHandler.java,RepairMessageVerbHandler.java,63,34,25,4,1,2609
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RequestCoordinator.java,RequestCoordinator.java,128,86,20,22,4,3260
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/DigestMismatchException.java,DigestMismatchException.java,35,15,17,3,0,1398
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/messages/SyncRequest.java,SyncRequest.java,95,64,23,8,3,4066
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/TruncateResponseHandler.java,TruncateResponseHandler.java,80,51,19,10,2,2896
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/RangeSliceVerbHandler.java,RangeSliceVerbHandler.java,47,27,18,2,1,1896
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/KeyspaceNotDefinedException.java,KeyspaceNotDefinedException.java,28,9,17,2,0,1065
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/IReadCommand.java,IReadCommand.java,24,6,17,1,0,942
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/RowMutationVerbHandler.java,RowMutationVerbHandler.java,87,54,24,9,5,3436
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/OnDiskAtom.java,OnDiskAtom.java,88,54,22,12,4,3343
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/PagedRangeCommand.java,PagedRangeCommand.java,194,145,19,30,4,7746
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/DecoratedKey.java,DecoratedKey.java,122,75,29,18,17,3946
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/IExecutorMBean.java,IExecutorMBean.java,41,8,29,4,0,1257
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/Differencer.java,Differencer.java,136,80,38,18,9,5089
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ReadVerbHandler.java,ReadVerbHandler.java,63,39,17,7,2,2452
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/Stage.java,Stage.java,65,45,17,3,2,1859
YAML,/Users/ropf/case_systems/cassandra/conf/cassandra-topology.yaml,cassandra-topology.yaml,25,7,14,4,0,916
Plain Text,/Users/ropf/case_systems/cassandra/conf/README.txt,README.txt,11,7,0,4,0,298
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/TruncateResponse.java,TruncateResponse.java,76,46,21,9,0,2747
Properties File,/Users/ropf/case_systems/cassandra/conf/commitlog_archiving.properties,commitlog_archiving.properties,54,4,44,6,0,2328
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/AbstractWriteResponseHandler.java,AbstractWriteResponseHandler.java,107,70,24,13,3,4021
Properties File,/Users/ropf/case_systems/cassandra/conf/log4j-server.properties,log4j-server.properties,44,11,26,7,0,1850
