Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
Plain Text,/Users/ropf/case_systems/cassandra/NEWS.txt,NEWS.txt,984,805,0,179,0,37691
Plain Text,/Users/ropf/case_systems/cassandra/LICENSE.txt,LICENSE.txt,209,174,0,35,0,11609
Plain Text,/Users/ropf/case_systems/cassandra/NOTICE.txt,NOTICE.txt,42,31,0,11,0,1506
Plain Text,/Users/ropf/case_systems/cassandra/README.txt,README.txt,113,83,0,30,0,4103
Plain Text,/Users/ropf/case_systems/cassandra/CHANGES.txt,CHANGES.txt,2450,2300,0,150,0,132627
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/DigestMismatchException.java,DigestMismatchException.java,36,15,17,4,0,1403
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/SocketSessionManagementService.java,SocketSessionManagementService.java,68,40,20,8,9,2042
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/TruncateResponseHandler.java,TruncateResponseHandler.java,81,51,19,11,2,2877
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/RangeSliceVerbHandler.java,RangeSliceVerbHandler.java,74,48,18,8,3,3117
Plain Text,/Users/ropf/case_systems/cassandra/conf/README.txt,README.txt,11,7,0,4,0,298
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/IReadCommand.java,IReadCommand.java,27,5,20,2,0,921
YAML,/Users/ropf/case_systems/cassandra/src/resources/org/apache/cassandra/cli/CliHelp.yaml,CliHelp.yaml,1233,966,17,250,0,49447
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/SSTableAddedNotification.java,SSTableAddedNotification.java,33,10,20,3,0,1111
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/client/RingCache.java,RingCache.java,124,85,24,15,4,4450
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/INotification.java,INotification.java,34,4,27,3,0,1052
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/SliceByNamesReadCommand.java,SliceByNamesReadCommand.java,126,96,17,13,5,4777
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ReadCommand.java,ReadCommand.java,139,95,20,24,0,4517
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ReadRepairVerbHandler.java,ReadRepairVerbHandler.java,51,28,17,6,0,1914
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/IExecutorMBean.java,IExecutorMBean.java,38,7,27,4,0,1168
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/DefsTable.java,DefsTable.java,672,402,156,114,69,26535
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/CounterUpdateColumn.java,CounterUpdateColumn.java,99,56,29,14,2,3594
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/StorageProxy.java,StorageProxy.java,1317,971,197,149,123,57597
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/INotificationConsumer.java,INotificationConsumer.java,27,5,20,2,0,975
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/SSTableListChangedNotification.java,SSTableListChangedNotification.java,40,15,20,5,0,1446
XML,/Users/ropf/case_systems/cassandra/build.xml,build.xml,1403,1164,122,117,0,64072
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/NamedThreadFactory.java,NamedThreadFactory.java,56,26,22,8,0,1797
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/JMXEnabledThreadPoolExecutorMBean.java,JMXEnabledThreadPoolExecutorMBean.java,34,6,26,2,0,1277
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/Stage.java,Stage.java,69,45,20,4,2,1866
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/DebuggableScheduledThreadPoolExecutor.java,DebuggableScheduledThreadPoolExecutor.java,87,48,29,10,0,2986
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/CounterMutationVerbHandler.java,CounterMutationVerbHandler.java,89,53,28,8,1,3766
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/AbstractWriteResponseHandler.java,AbstractWriteResponseHandler.java,85,50,25,10,3,2918
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hadoop/ColumnFamilyOutputFormat.java,ColumnFamilyOutputFormat.java,193,90,83,20,10,7598
Properties File,/Users/ropf/case_systems/cassandra/conf/cassandra-rackdc.properties,cassandra-rackdc.properties,20,2,17,1,0,916
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hadoop/ColumnFamilyRecordReader.java,ColumnFamilyRecordReader.java,584,460,51,73,71,20875
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hadoop/ColumnFamilyRecordWriter.java,ColumnFamilyRecordWriter.java,350,215,101,34,25,12395
Shell,/Users/ropf/case_systems/cassandra/conf/cassandra-env.sh,cassandra-env.sh,231,112,89,30,15,8631
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hadoop/BulkOutputFormat.java,BulkOutputFormat.java,96,58,22,16,4,3353
YAML,/Users/ropf/case_systems/cassandra/conf/cassandra.yaml,cassandra.yaml,567,62,445,60,0,25329
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hadoop/ColumnFamilySplit.java,ColumnFamilySplit.java,123,82,24,17,5,3455
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hadoop/BulkRecordWriter.java,BulkRecordWriter.java,356,301,22,33,41,13929
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ColumnSerializer.java,ColumnSerializer.java,141,103,25,13,12,4992
Properties File,/Users/ropf/case_systems/cassandra/conf/log4j-tools.properties,log4j-tools.properties,27,5,19,3,0,1228
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hadoop/ColumnFamilyInputFormat.java,ColumnFamilyInputFormat.java,355,260,56,39,37,15011
Properties File,/Users/ropf/case_systems/cassandra/conf/cassandra-topology.properties,cassandra-topology.properties,41,14,20,7,0,1358
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/CreationTimeAwareFuture.java,CreationTimeAwareFuture.java,75,38,26,11,0,2373
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hadoop/ConfigHelper.java,ConfigHelper.java,572,413,88,71,19,20289
Properties File,/Users/ropf/case_systems/cassandra/conf/commitlog_archiving.properties,commitlog_archiving.properties,54,4,44,6,0,2328
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/JMXConfigurableThreadPoolExecutorMBean.java,JMXConfigurableThreadPoolExecutorMBean.java,26,6,17,3,0,1012
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/JMXConfigurableThreadPoolExecutor.java,JMXConfigurableThreadPoolExecutor.java,37,15,17,5,0,1570
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/JMXEnabledThreadPoolExecutor.java,JMXEnabledThreadPoolExecutor.java,177,122,32,23,2,5614
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/DebuggableThreadPoolExecutor.java,DebuggableThreadPoolExecutor.java,200,105,78,17,13,8868
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hadoop/Progressable.java,Progressable.java,50,22,20,8,2,1406
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/CounterMutation.java,CounterMutation.java,193,146,19,28,13,6558
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/TruncateResponse.java,TruncateResponse.java,84,50,21,13,0,3039
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/RowMutationVerbHandler.java,RowMutationVerbHandler.java,87,51,25,11,7,3604
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ColumnFamily.java,ColumnFamily.java,388,297,37,54,43,11764
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/KeyspaceNotDefinedException.java,KeyspaceNotDefinedException.java,29,9,18,2,0,1047
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/concurrent/StageManager.java,StageManager.java,108,65,30,13,1,5127
Properties File,/Users/ropf/case_systems/cassandra/conf/log4j-server.properties,log4j-server.properties,44,11,26,7,0,1850
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ColumnIndexer.java,ColumnIndexer.java,197,119,53,25,18,6809
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/SystemTable.java,SystemTable.java,621,478,71,72,32,24754
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/SchemaCheckVerbHandler.java,SchemaCheckVerbHandler.java,40,17,17,6,0,1568
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/DecoratedKey.java,DecoratedKey.java,115,69,28,18,15,3598
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ReadVerbHandler.java,ReadVerbHandler.java,81,54,17,10,4,3146
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ColumnFamilyNotDefinedException.java,ColumnFamilyNotDefinedException.java,29,9,17,3,0,1079
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/IndexScanCommand.java,IndexScanCommand.java,114,83,18,13,0,4526
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/RowPosition.java,RowPosition.java,113,71,30,12,9,4013
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/SnapshotVerbHandler.java,SnapshotVerbHandler.java,52,32,17,3,2,2219
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/IResponseResolver.java,IResponseResolver.java,48,11,28,9,0,1736
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/CacheService.java,CacheService.java,293,203,27,63,6,8691
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hadoop/pig/CassandraStorage.java,CassandraStorage.java,1186,1006,75,105,205,47426
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/AbstractCassandraDaemon.java,AbstractCassandraDaemon.java,449,286,114,49,37,15614
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/DatacenterWriteResponseHandler.java,DatacenterWriteResponseHandler.java,98,59,26,13,10,3323
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/AbstractRowResolver.java,AbstractRowResolver.java,91,58,21,12,2,3217
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/PendingRangeCalculatorService.java,PendingRangeCalculatorService.java,194,113,54,27,15,8857
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/CacheServiceMBean.java,CacheServiceMBean.java,75,29,32,14,0,2670
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/LoadBroadcaster.java,LoadBroadcaster.java,94,57,19,18,5,3237
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/StorageProxyMBean.java,StorageProxyMBean.java,52,29,18,5,0,2031
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/thrift/TBinaryProtocol.java,TBinaryProtocol.java,99,61,22,16,4,2921
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/Row.java,Row.java,86,55,18,13,2,2859
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/IFailureDetector.java,IFailureDetector.java,86,13,62,11,0,3066
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/thrift/CustomTNonBlockingServer.java,CustomTNonBlockingServer.java,43,19,20,4,0,1512
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/StorageServiceMBean.java,StorageServiceMBean.java,433,87,273,73,0,15938
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ReadResponse.java,ReadResponse.java,125,84,23,18,8,3677
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/IndexScanVerbHandler.java,IndexScanVerbHandler.java,58,35,17,6,1,2380
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/thrift/CustomTThreadPoolServer.java,CustomTThreadPoolServer.java,222,130,66,26,11,8065
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/ClientState.java,ClientState.java,270,188,40,42,17,9325
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/DatacenterSyncWriteResponseHandler.java,DatacenterSyncWriteResponseHandler.java,125,77,30,18,10,4395
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/ReadCallback.java,ReadCallback.java,265,196,42,27,21,9898
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/RepairCallback.java,RepairCallback.java,91,53,28,10,2,3111
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/thrift/TFramedTransportFactory.java,TFramedTransportFactory.java,37,14,20,3,0,1328
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/thrift/CassandraServer.java,CassandraServer.java,1340,1116,51,173,145,54902
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ColumnFamilyStore.java,ColumnFamilyStore.java,2109,1514,322,273,201,80494
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/thrift/TCustomServerSocket.java,TCustomServerSocket.java,183,122,41,20,10,5220
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/thrift/TCustomNonblockingServerSocket.java,TCustomNonblockingServerSocket.java,92,63,21,8,8,3220
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/thrift/ThriftValidation.java,ThriftValidation.java,622,492,55,75,185,27480
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/thrift/ITransportFactory.java,ITransportFactory.java,34,9,20,5,0,1180
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/AntiEntropyService.java,AntiEntropyService.java,1177,839,202,136,80,45613
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/thrift/TCustomSocket.java,TCustomSocket.java,211,108,79,24,13,5359
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/MigrationManager.java,MigrationManager.java,474,313,89,72,40,18615
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/GCInspector.java,GCInspector.java,151,108,22,21,18,6047
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/thrift/CassandraDaemon.java,CassandraDaemon.java,223,164,38,21,8,11359
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/WriteResponseHandler.java,WriteResponseHandler.java,123,85,23,15,9,4365
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/thrift/RequestType.java,RequestType.java,28,6,20,2,0,901
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/thrift/CustomTHsHaServer.java,CustomTHsHaServer.java,346,256,62,28,24,10987
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/streaming/StreamingServiceMBean.java,StreamingServiceMBean.java,42,13,22,7,0,1489
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/streaming/OperationType.java,OperationType.java,33,10,20,3,0,1012
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/streaming/StreamRequestVerbHandler.java,StreamRequestVerbHandler.java,62,32,21,9,2,2281
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/streaming/StreamOut.java,StreamOut.java,164,82,70,12,6,7081
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/streaming/AbstractStreamSession.java,AbstractStreamSession.java,117,78,18,21,6,3873
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/IEndpointStateChangeSubscriber.java,IEndpointStateChangeSubscriber.java,58,11,38,9,0,2350
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/RowRepairResolver.java,RowRepairResolver.java,189,127,37,25,22,7254
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/RowDigestResolver.java,RowDigestResolver.java,123,74,37,12,15,4471
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/DatacenterReadCallback.java,DatacenterReadCallback.java,114,77,25,12,10,3967
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/Table.java,Table.java,589,426,104,59,89,22898
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/EchoedRow.java,EchoedRow.java,78,40,27,11,0,2291
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/SuperColumn.java,SuperColumn.java,408,317,38,53,42,12527
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ColumnFamilyType.java,ColumnFamilyType.java,40,17,21,2,1,1311
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/TruncateVerbHandler.java,TruncateVerbHandler.java,76,49,17,10,0,3036
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/HintedHandOffManager.java,HintedHandOffManager.java,510,381,77,52,41,20907
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/CassandraDaemon.java,CassandraDaemon.java,76,14,52,10,0,2277
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/GossipDigest.java,GossipDigest.java,111,74,21,16,2,3180
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/Memtable.java,Memtable.java,448,331,61,56,21,18163
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/AsyncRepairCallback.java,AsyncRepairCallback.java,64,37,20,7,2,2088
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/IWriteResponseHandler.java,IWriteResponseHandler.java,32,9,20,3,0,1192
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/EmbeddedCassandraService.java,EmbeddedCassandraService.java,59,13,40,6,0,1789
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/ColumnFamilySerializer.java,ColumnFamilySerializer.java,159,102,39,18,9,5244
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/RangeSliceResponseResolver.java,RangeSliceResponseResolver.java,177,127,27,23,7,6433
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/PendingRangeCalculatorServiceMBean.java,PendingRangeCalculatorServiceMBean.java,23,4,17,2,0,899
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/MeteredFlusher.java,MeteredFlusher.java,125,84,27,14,11,5126
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/GossiperMBean.java,GossiperMBean.java,33,9,17,7,0,1246
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/streaming/IncomingStreamReader.java,IncomingStreamReader.java,186,139,27,20,17,7966
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/DataTracker.java,DataTracker.java,661,506,71,84,63,23367
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/WriteResponse.java,WriteResponse.java,102,65,22,15,0,3238
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/cli/CliOptions.java,CliOptions.java,225,147,49,29,14,8054
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/cli/CliCompiler.java,CliCompiler.java,173,108,35,30,19,5183
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/cli/CliCommandHelp.java,CliCommandHelp.java,24,6,17,1,0,921
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/Gossiper.java,Gossiper.java,1211,871,228,112,152,50444
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/cli/CliMain.java,CliMain.java,409,301,48,60,45,12995
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/cli/CliCompleter.java,CliCompleter.java,85,63,17,5,0,2503
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/cli/CliUtils.java,CliUtils.java,126,68,45,13,16,3717
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/EndpointState.java,EndpointState.java,158,102,28,28,2,4714
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/StorageService.java,StorageService.java,3122,2269,461,392,325,126171
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/gms/VersionGenerator.java,VersionGenerator.java,36,10,21,5,0,1189
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/streaming/StreamReply.java,StreamReply.java,96,64,20,12,0,3169
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/cli/CliUserHelp.java,CliUserHelp.java,29,8,17,4,0,989
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/streaming/StreamHeader.java,StreamHeader.java,126,81,26,19,3,4445
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/cli/CliSessionState.java,CliSessionState.java,86,52,23,11,0,2739
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/db/IMutation.java,IMutation.java,33,13,17,3,0,1197
